id,name,image,model,categoryId,price,description,rating,origin,prepTime,availability,dietary,calories,protein,carbs,fats,flavorProfile,spiceLevel,ingredients,servingSize,tags,price_LKR,price_USD,Gluten-Free,Vegan,Vegetarian,tag_american,tag_appetizer,tag_beans,tag_bread,tag_burger,tag_cheesy,tag_chinese,tag_chocolate,tag_cocktail,tag_coconut,tag_coffee,tag_cold,tag_condiment,tag_cookies,tag_cooling,tag_corn,tag_creamy,tag_crispy,tag_curry,tag_custard,tag_dessert,tag_dip,tag_dumplings,tag_fast food,tag_floral,tag_fried,tag_fries,tag_fritters,tag_fruity,tag_fudge,tag_gluten-free,tag_grain,tag_greens,tag_grilled,tag_hearty,tag_herbal,tag_hot,tag_ice cream,tag_iced,tag_indian,tag_italian,tag_juice,tag_lemonade,tag_lentils,tag_milk,tag_milky,tag_mushrooms,tag_noodles,tag_pasta,tag_pastry,tag_pie,tag_potatoes,tag_pudding,tag_refreshing,tag_rice,tag_salad,tag_savory,tag_seafood,tag_short eats,tag_snack,tag_soda,tag_spiced,tag_spicy,tag_sri lankan,tag_steak,tag_steamed,tag_stir-fry,tag_street food,tag_sweet,tag_syrup,tag_tangy,tag_tea,tag_thai,tag_tropical,tag_vegan,tag_vegetarian,tag_wafers,tag_yogurt,flavor_Bitter,flavor_Citrus,flavor_Creamy,flavor_Earthy,flavor_Floral,flavor_Fresh,flavor_Herbal,flavor_Neutral,flavor_Savory,flavor_Spicy,flavor_Sweet,flavor_Sweet-Savory,flavor_Sweet-Sour,flavor_Sweet-Spicy,flavor_Sweet-Tart,flavor_Tangy,spiceLevel_encoded,origin_American,origin_Chinese,origin_Chinese-American,origin_Indian,origin_Italian,origin_Sri Lankan,origin_Thai,available_in_menu,ingredients_list,nutrition_tags,contextual_tags
11,Egg Rolls,/foodImages/egg_rolls.jpeg,/models/egg_rolls.glb,1,"{'LKR': 350, 'USD': 1.17}",Crispy rolls with pork and cabbage filling,4.5,Chinese,Quick (under 15 min),In Stock,[],230,9,22,11,Savory,Mild,"pork, cabbage, carrots, pastry wrapper",3 pieces,"[""chinese"", ""snack"", ""fried""]",350.0,1.17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,"['pork', 'cabbage', 'carrots', 'pastry wrapper']","[""Low Calorie""]","[""savory"", ""mild"", ""snack"", ""chinese"", ""fried""]"
12,Pakora,/foodImages/pakora.jpeg,/models/pakora.glb,1,"{'LKR': 300, 'USD': 1.0}",Crispy vegetable fritters with chickpea flour,4.6,Indian,Quick (under 15 min),In Stock,"['Vegetarian', 'Vegan']",190,5,20,10,Savory,Medium,"chickpea flour, vegetables, spices",4 pieces,"[""indian"", ""snack"", ""vegan""]",300.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,"['chickpea flour', 'vegetables', 'spices']","[""Vegan"", ""Vegetarian"", ""Low Calorie""]","[""medium"", ""savory"", ""snack"", ""vegetarian"", ""indian"", ""vegan""]"
13,Crab Rangoon,/foodImages/crab_rangoon.jpeg,/models/crab_rangoon.glb,1,"{'LKR': 450, 'USD': 1.5}",Fried wontons with cream cheese and crab,4.5,Chinese-American,Quick (under 15 min),In Stock,[],280,8,20,15,Creamy,Mild,"crab, cream cheese, wonton wrappers",4 pieces,"[""chinese"", ""american"", ""snack"", ""fried""]",450.0,1.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,"['crab', 'cream cheese', 'wonton wrappers']","[""Low Calorie""]","[""seafood"", ""creamy"", ""american"", ""mild"", ""snack"", ""chinese-american"", ""chinese"", ""fried""]"
14,Coconut Prawns,/foodImages/coconut_prawns.jpeg,/models/coconut_prawns.glb,1,"{'LKR': 500, 'USD': 1.67}",Crispy prawns coated in coconut,4.7,Sri Lankan,Quick (under 15 min),In Stock,[],300,12,15,18,Sweet-Savory,Mild,"prawns, coconut, breadcrumbs, spices",5 pieces,"[""sri lankan"", ""seafood"", ""fried""]",500.0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,"['prawns', 'coconut', 'breadcrumbs', 'spices']",[],"[""sweet-savory"", ""dessert"", ""seafood"", ""sri lankan"", ""mild"", ""fried""]"
15,Aloo Tikki,/foodImages/aloo_tikki.jpeg,/models/aloo_tikki.glb,1,"{'LKR': 300, 'USD': 1.0}",Spiced potato patties with chutney,4.6,Indian,Quick (under 15 min),In Stock,"['Vegetarian', 'Vegan']",200,5,25,8,Savory,Medium,"potatoes, spices, chickpea flour",3 pieces,"[""indian"", ""snack"", ""vegan""]",300.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,"['potatoes', 'spices', 'chickpea flour']","[""Vegan"", ""Vegetarian"", ""Low Calorie""]","[""medium"", ""savory"", ""snack"", ""vegetarian"", ""indian"", ""vegan""]"
16,Stuffed Mushrooms,/foodImages/stuffed_mushrooms.jpeg,/models/stuffed_mushrooms.glb,1,"{'LKR': 450, 'USD': 1.5}",Mushrooms stuffed with cheese and herbs,4.6,Italian,Quick (under 15 min),In Stock,['Vegetarian'],220,8,10,15,Savory,Mild,"mushrooms, cheese, breadcrumbs, herbs",4 pieces,"[""italian"", ""appetizer"", ""vegetarian""]",450.0,1.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,"['mushrooms', 'cheese', 'breadcrumbs', 'herbs']","[""Vegetarian"", ""Low Calorie""]","[""appetizer"", ""savory"", ""vegetarian"", ""italian"", ""mild""]"
17,Fried Calamari,/foodImages/fried_calamari.jpeg,/models/fried_calamari.glb,1,"{'LKR': 500, 'USD': 1.67}",Crispy squid rings with marinara sauce,4.5,Italian,Quick (under 15 min),In Stock,[],280,12,20,15,Savory,Mild,"squid, flour, marinara sauce",6 pieces,"[""italian"", ""seafood"", ""fried""]",500.0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,"['squid', 'flour', 'marinara sauce']","[""Low Calorie""]","[""seafood"", ""savory"", ""italian"", ""mild"", ""fried""]"
18,Pork Satay,/foodImages/pork_satay.jpeg,/models/pork_satay.glb,3,"{'LKR': 450, 'USD': 1.5}",Grilled pork skewers with peanut sauce,4.7,Thai,Quick (under 15 min),In Stock,[],260,15,10,15,Savory,Medium,"pork, peanut sauce, spices",4 skewers,"[""thai"", ""snack"", ""grilled""]",450.0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,"['pork', 'peanut sauce', 'spices']","[""High Protein"", ""Gluten-Free"", ""Low Calorie""]","[""medium"", ""savory"", ""snack"", ""grilled"", ""thai""]"
19,Deviled Eggs,/foodImages/deviled_eggs.jpeg,/models/deviled_eggs.glb,1,"{'LKR': 350, 'USD': 1.17}",Hard-boiled eggs with creamy yolk filling,4.4,American,Quick (under 15 min),In Stock,['Vegetarian'],180,8,2,15,Creamy,Mild,"eggs, mayonnaise, mustard",4 halves,"[""american"", ""snack"", ""creamy""]",350.0,1.17,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"['eggs', 'mayonnaise', 'mustard']","[""Vegetarian"", ""Gluten-Free"", ""Low Calorie""]","[""creamy"", ""vegetarian"", ""american"", ""mild"", ""snack""]"
20,Papdi Chaat,/foodImages/papdi_chaat.jpeg,/models/papdi_chaat.glb,1,"{'LKR': 350, 'USD': 1.17}",Crispy wafers with yogurt and chutney,4.6,Indian,Quick (under 15 min),In Stock,['Vegetarian'],200,5,25,10,Tangy,Medium,"papdi, yogurt, tamarind chutney, spices",6 pieces,"[""indian"", ""street food"", ""vegetarian""]",350.0,1.17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,"['papdi', 'yogurt', 'tamarind chutney', 'spices']","[""Vegetarian"", ""Gluten-Free"", ""Low Calorie""]","[""medium"", ""street food"", ""vegetarian"", ""indian"", ""tangy""]"
21,Prawn Toast,/foodImages/prawn_toast.jpeg,/models/prawn_toast.glb,1,"{'LKR': 400, 'USD': 1.33}",Bread topped with minced prawns and sesame,4.5,Chinese,Quick (under 15 min),In Stock,[],250,10,20,12,Savory,Mild,"prawns, bread, sesame seeds",4 pieces,"[""chinese"", ""snack"", ""fried""]",400.0,1.33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,"['prawns', 'bread', 'sesame seeds']","[""Low Calorie""]","[""seafood"", ""savory"", ""mild"", ""snack"", ""chinese"", ""fried""]"
22,Isso Vadai,/foodImages/isso_vadai.jpeg,/models/isso_vadai.glb,1,"{'LKR': 300, 'USD': 1.0}",Lentil fritters topped with prawns,4.7,Sri Lankan,Quick (under 15 min),In Stock,[],220,10,20,10,Spicy,Medium,"lentils, prawns, spices",3 pieces,"[""sri lankan"", ""short eats"", ""seafood""]",300.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,"['lentils', 'prawns', 'spices']","[""Gluten-Free"", ""Low Calorie""]","[""seafood"", ""medium"", ""sri lankan"", ""short eats"", ""spicy""]"
23,Onion Bhaji,/foodImages/onion_bhaji.jpeg,/models/onion_bhaji.glb,1,"{'LKR': 300, 'USD': 1.0}",Crispy onion fritters with spices,4.6,Indian,Quick (under 15 min),In Stock,"['Vegetarian', 'Vegan']",190,4,20,10,Savory,Medium,"onions, chickpea flour, spices",4 pieces,"[""indian"", ""snack"", ""vegan""]",300.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,"['onions', 'chickpea flour', 'spices']","[""Vegan"", ""Vegetarian"", ""Low Calorie""]","[""medium"", ""savory"", ""snack"", ""vegetarian"", ""indian"", ""vegan""]"
24,Nachos,/foodImages/nachos.jpeg,/models/nachos.glb,1,"{'LKR': 450, 'USD': 1.5}",Tortilla chips with cheese and salsa,4.5,American,Quick (under 15 min),In Stock,['Vegetarian'],300,8,30,15,Savory,Mild,"tortilla chips, cheese, salsa, jalapeños",1 plate,"[""american"", ""snack"", ""cheesy""]",450.0,1.5,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"['tortilla chips', 'cheese', 'salsa', 'jalapeños']","[""Vegetarian"", ""Gluten-Free""]","[""savory"", ""vegetarian"", ""american"", ""mild"", ""cheesy"", ""snack""]"
25,Arancini,/foodImages/arancini.jpeg,/models/arancini.glb,1,"{'LKR': 400, 'USD': 1.33}",Fried rice balls stuffed with mozzarella,4.6,Italian,Quick (under 15 min),In Stock,['Vegetarian'],250,8,25,12,Savory,Mild,"rice, mozzarella, breadcrumbs",3 pieces,"[""italian"", ""snack"", ""fried""]",400.0,1.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,"['rice', 'mozzarella', 'breadcrumbs']","[""Vegetarian"", ""Low Calorie""]","[""savory"", ""vegetarian"", ""italian"", ""mild"", ""snack"", ""fried""]"
